"Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
2015-01-01,"46","40","33","39","19","9","76","45","33","29.80","29.59","29.36","6","6","3","29","17","43","0.00","3","Snow","328<br />","Tokyo (JPN)","Winter"
2015-01-02,"42","36","30","25","16","7","53","41","27","29.92","29.82","29.74","6","6","6","13","7","","0.00","2","","302<br />","Tokyo (JPN)","Winter"
2015-01-03,"46","39","32","25","18","9","60","42","22","30.01","29.95","29.80","6","6","6","14","10","","0.00","1","","298<br />","Tokyo (JPN)","Winter"
2015-01-04,"46","40","33","32","25","19","65","53","43","30.01","29.91","29.83","6","6","6","8","4","","0.00","2","","301<br />","Tokyo (JPN)","Winter"
2015-01-05,"53","45","37","39","31","25","76","59","33","30.09","30.02","29.92","6","6","6","18","8","","0.00","1","","45<br />","Tokyo (JPN)","Winter"
2015-01-06,"60","52","44","55","42","25","94","65","43","30.01","29.58","29.33","6","6","2","33","19","53","0.00","5","Rain","228<br />","Tokyo (JPN)","Winter"
2015-01-07,"50","46","41","23","19","16","46","38","27","29.68","29.59","29.47","6","6","6","26","20","37","0.00","4","","342<br />","Tokyo (JPN)","Winter"
2015-01-08,"51","45","39","25","16","12","42","32","21","29.83","29.77","29.71","6","6","6","23","19","33","0.00","1","","327<br />","Tokyo (JPN)","Winter"
2015-01-09,"51","46","41","23","15","10","40","30","19","29.89","29.84","29.80","6","6","6","22","16","32","0.00","1","","330<br />","Tokyo (JPN)","Winter"
2015-01-10,"51","45","39","23","15","9","43","30","18","29.92","29.85","29.80","6","6","6","20","13","30","0.00","1","","333<br />","Tokyo (JPN)","Winter"
2015-01-11,"51","43","35","32","25","21","60","46","35","29.95","29.85","29.74","6","6","6","24","10","31","0.00","2","Rain","262<br />","Tokyo (JPN)","Winter"
2015-01-12,"48","42","37","25","17","10","52","36","25","30.21","30.06","29.89","6","6","6","25","17","37","0.00","1","","326<br />","Tokyo (JPN)","Winter"
2015-01-13,"51","43","35","27","21","16","48","39","28","30.39","30.33","30.21","6","6","6","16","12","","0.00","1","","326<br />","Tokyo (JPN)","Winter"
2015-01-14,"48","42","37","41","29","21","76","55","42","30.39","30.31","30.15","6","6","6","10","5","","0.00","4","","29<br />","Tokyo (JPN)","Winter"
2015-01-15,"48","44","39","41","37","28","93","79","50","30.15","29.84","29.59","6","4","1","28","11","37","0.00","6","Rain","352<br />","Tokyo (JPN)","Winter"
2015-01-16,"51","46","42","46","35","28","93","61","46","29.95","29.88","29.74","6","6","6","20","11","","0.00","4","Rain","58<br />","Tokyo (JPN)","Winter"
2015-01-17,"51","44","37","46","26","12","93","52","31","29.98","29.74","29.62","6","6","6","29","12","40","0.00","2","","320<br />","Tokyo (JPN)","Winter"
2015-01-18,"50","42","35","23","15","9","46","34","22","30.06","30.03","29.98","6","6","6","20","12","32","0.00","1","","310<br />","Tokyo (JPN)","Winter"
2015-01-19,"50","42","33","36","25","18","62","48","37","29.98","29.85","29.74","6","6","6","18","7","18","0.00","1","","2<br />","Tokyo (JPN)","Winter"
2015-01-20,"51","46","41","28","22","19","57","41","30","30.33","30.13","29.98","6","6","6","18","14","29","0.00","1","","341<br />","Tokyo (JPN)","Winter"
2015-01-21,"41","38","35","37","30","19","93","74","42","30.42","30.29","30.15","6","5","2","17","12","","0.00","6","Rain-Snow","343<br />","Tokyo (JPN)","Winter"
2015-01-22,"44","42","41","43","39","36","93","89","81","30.15","29.85","29.53","6","5","3","16","11","","0.00","6","Rain","353<br />","Tokyo (JPN)","Winter"
2015-01-23,"53","48","41","43","31","18","93","59","34","29.98","29.71","29.50","6","6","3","29","14","40","0.00","3","Rain","341<br />","Tokyo (JPN)","Winter"
2015-01-24,"46","44","41","30","22","16","57","44","36","30.21","30.12","29.98","6","6","6","23","15","36","0.00","4","","9<br />","Tokyo (JPN)","Winter"
2015-01-25,"51","44","37","43","34","27","76","63","47","30.36","30.31","30.18","6","6","6","12","6","","0.00","2","","27<br />","Tokyo (JPN)","Winter"
2015-01-26,"57","50","44","48","42","37","93","76","66","30.33","30.17","29.98","6","6","3","15","8","","0.00","4","Rain","354<br />","Tokyo (JPN)","Winter"
2015-01-27,"57","50","44","48","43","30","93","79","44","29.98","29.81","29.68","6","4","2","24","12","29","0.00","5","Rain-Thunderstorm","353<br />","Tokyo (JPN)","Winter"
2015-01-28,"46","42","37","37","22","12","81","46","25","30.21","30.02","29.83","6","6","6","24","17","33","0.00","4","Rain","360<br />","Tokyo (JPN)","Winter"
2015-01-29,"42","38","33","32","21","14","66","47","34","30.36","30.29","30.21","6","6","6","20","13","","0.00","2","","48<br />","Tokyo (JPN)","Winter"
2015-01-30,"42","38","35","37","34","27","93","87","57","30.24","30.02","29.74","6","4","2","20","12","","0.00","6","Rain-Snow","343<br />","Tokyo (JPN)","Winter"
2015-01-31,"50","44","37","37","24","10","93","52","20","29.98","29.85","29.74","6","6","6","30","13","44","0.00","1","","318<br />","Tokyo (JPN)","Winter"
2015-02-01,"46","40","35","21","14","9","39","33","23","30.15","30.07","29.98","6","6","6","24","19","36","0.00","1","","330<br />","Tokyo (JPN)","Winter"
